,,,,,,,
maj13,P1,M3,P5,M7,M9,M11,M13
dom13,P1,M3,P5,m7,M9,M11,M13
13 b9,P1,M3,P5,m7,m9,M13,
maj11,P1,M3,P5,M7,M9,M11,
13,P1,M3,P5,m7,M9,M13,
aug11,P1,M3,P5,m7,M9,m12,
maj11,P1,M3,P5,m7,M9,M11,
min11,P1,m3,P5,m7,M9,M11,
dom11,P1,M3,P5,m7,M9,M11,
9b5,P1,M3,P5,m7,M9,,
M7add9,P1,M3,P5,M7,M9,,
7#9,P1,M3,P5,m7,m10,,
7b9,P1,M3,P5,m7,m9,,
dom9,P1,M3,P5,m7,M9,,
maj6/9,P1,M3,P5,M6,M9,,
maj9,P1,M3,P5,M7,M9,,
min9,P1,m3,P5,m7,M9,,
dim7,P1,m3,d5,M6,,,
7#5,P1,M3,m6,m7,,,
7b5,P1,M3,d5,m7,,,
min7,P1,m3,P5,m7,,,
maj7,P1,M3,P5,M7,,,
dom7,P1,M3,P5,m7,,,
min6,P1,m3,P5,M6,,,
maj6,P1,M3,P5,M6,,,
m maj7,P1,m3,P5,M7,,,
m7b5,P1,m3,d5,m7,,,
aug7,P1,M3,d5,m7,,,
7sus4,P1,P4,P5,m7,,,
add9,P1,M3,P5,M9,,,
add11,P1,M3,P5,M11,,,
aug,P1,M3,m6,,,,
dim,P1,m3,d5,,,,
m,P1,m3,P5,,,,
sus2,P1,M2,P5,,,,
sus4,P1,P4,P5,,,,
,P1,M3,P5,,,,
